x,y,layer1,layer2,voltage1,voltage2,current
54.8977,948.294,TOP_LAYER,GND,0.000742387,0.000742384,1.82185e-05
54.8977,948.294,GND,POWER,0.000742384,0.000742346,1.82185e-05
54.8977,948.294,POWER,BOTTOM_LAYER,0.000742346,0.000742337,5.93487e-05
54.8977,1184.51,TOP_LAYER,GND,0.000742991,0.000742991,-1.19528e-06
54.8977,1184.51,GND,POWER,0.000742991,0.000742994,-1.19528e-06
54.8977,1184.51,POWER,BOTTOM_LAYER,0.000742994,0.00074298,9.08869e-05
54.8977,1499.48,TOP_LAYER,GND,0.000743246,0.000743248,-1.2944e-05
54.8977,1499.48,GND,POWER,0.000743248,0.000743276,-1.2944e-05
54.8977,1499.48,POWER,BOTTOM_LAYER,0.000743276,0.000743275,3.52094e-07
54.8977,1735.7,TOP_LAYER,GND,0.00074284,0.000742842,-1.14579e-05
54.8977,1735.7,GND,POWER,0.000742842,0.000742845,-1.74103e-06
54.8977,1735.7,POWER,BOTTOM_LAYER,0.000742845,0.000742845,-1.74103e-06
55.9562,1420.1,TOP_LAYER,GND,0.000743261,0.000743262,-4.94834e-06
55.9562,1420.1,GND,POWER,0.000743262,0.000743272,-4.94834e-06
55.9562,1420.1,POWER,BOTTOM_LAYER,0.000743272,0.000743272,2.68507e-06
69.9298,1352.47,TOP_LAYER,GND,0.000743216,0.000743218,-1.34471e-05
69.9298,1352.47,GND,POWER,0.000743218,0.000743247,-1.34471e-05
69.9298,1352.47,POWER,BOTTOM_LAYER,0.000743247,0.000743247,1.69986e-06
92.9543,663.739,TOP_LAYER,GND,0.000741359,0.000741357,9.88801e-05
92.9543,663.739,GND,POWER,0.000741357,0.000741328,9.88801e-05
92.9543,663.739,POWER,BOTTOM_LAYER,0.000741328,0.000741329,-4.33164e-05
92.9543,863.739,TOP_LAYER,GND,0.000742137,0.000742138,-4.27538e-05
92.9543,863.739,GND,POWER,0.000742138,0.00074215,-4.27538e-05
92.9543,863.739,POWER,BOTTOM_LAYER,0.00074215,0.000742154,-0.000205505
92.9543,1057.44,TOP_LAYER,GND,0.00074274,0.000742741,-5.74135e-05
92.9543,1057.44,GND,POWER,0.000742741,0.000742758,-5.74135e-05
92.9543,1057.44,POWER,BOTTOM_LAYER,0.000742758,0.000742761,-0.000145458
92.9543,1257.44,TOP_LAYER,GND,0.000743132,0.000743134,-9.31845e-05
92.9543,1257.44,GND,POWER,0.000743134,0.000743161,-9.31845e-05
92.9543,1257.44,POWER,BOTTOM_LAYER,0.000743161,0.000743163,-7.55704e-05
74.5828,751.443,TOP_LAYER,GND,0.0007415,0.000741502,-1.23543e-05
74.5828,751.443,GND,POWER,0.000741502,0.000741528,-1.23543e-05
74.5828,751.443,POWER,BOTTOM_LAYER,0.000741528,0.000741516,7.97797e-05
74.5828,987.664,TOP_LAYER,GND,0.000742508,0.000742506,1.32296e-05
74.5828,987.664,GND,POWER,0.000742506,0.000742478,1.32296e-05
74.5828,987.664,POWER,BOTTOM_LAYER,0.000742478,0.000742474,2.63365e-05
74.5828,1145.14,TOP_LAYER,GND,0.000742906,0.000742905,4.84888e-06
74.5828,1145.14,GND,POWER,0.000742905,0.000742895,4.84888e-06
74.5828,1145.14,POWER,BOTTOM_LAYER,0.000742895,0.000742885,6.71396e-05
74.5828,1538.85,TOP_LAYER,GND,0.000743251,0.000743237,9.6981e-05
74.5828,1538.85,GND,POWER,0.000743237,0.000743261,-1.12216e-05
74.5828,1538.85,POWER,BOTTOM_LAYER,0.000743261,0.000743257,2.61952e-05
74.5828,1696.33,TOP_LAYER,GND,0.00074287,0.000742879,-5.85114e-05
74.5828,1696.33,GND,POWER,0.000742879,0.000742885,-2.81702e-06
74.5828,1696.33,POWER,BOTTOM_LAYER,0.000742885,0.000742885,-2.81702e-06
75.5926,541.445,TOP_LAYER,GND,0.000740751,0.000740757,-4.21481e-05
75.5926,541.445,GND,POWER,0.000740757,0.000740847,-4.21481e-05
75.5926,541.445,POWER,BOTTOM_LAYER,0.000740847,0.000740858,-7.8492e-05
80.9518,609.078,TOP_LAYER,GND,0.000741189,0.000741182,5.04608e-05
80.9518,609.078,GND,POWER,0.000741182,0.000741074,5.04608e-05
80.9518,609.078,POWER,BOTTOM_LAYER,0.000741074,0.000741075,-4.70587e-06
82.9358,1426.46,TOP_LAYER,GND,0.000743275,0.000743276,-7.3794e-06
82.9358,1426.46,GND,POWER,0.000743276,0.000743292,-7.3794e-06
82.9358,1426.46,POWER,BOTTOM_LAYER,0.000743292,0.000743298,-4.54968e-05
91.4997,1336.53,TOP_LAYER,GND,0.000743215,0.000743217,-1.29521e-05
91.4997,1336.53,GND,POWER,0.000743217,0.000743245,-1.29521e-05
91.4997,1336.53,POWER,BOTTOM_LAYER,0.000743245,0.000743247,-1.37711e-05
93.6782,492.717,TOP_LAYER,GND,0.00074065,0.000740656,-4.28995e-05
93.6782,492.717,GND,POWER,0.000740656,0.000740748,-4.28995e-05
93.6782,492.717,POWER,BOTTOM_LAYER,0.000740748,0.000740767,-0.00013373
93.6782,520.437,TOP_LAYER,GND,0.00074072,0.000740724,-2.45244e-05
93.6782,520.437,GND,POWER,0.000740724,0.000740776,-2.45244e-05
93.6782,520.437,POWER,BOTTOM_LAYER,0.000740776,0.000740767,5.93792e-05
93.6782,1452.02,TOP_LAYER,GND,0.000743275,0.000743277,-1.09494e-05
93.6782,1452.02,GND,POWER,0.000743277,0.0007433,-1.09494e-05
93.6782,1452.02,POWER,BOTTOM_LAYER,0.0007433,0.000743298,1.27711e-05
93.6782,1479.74,TOP_LAYER,GND,0.000743282,0.000743283,-6.79079e-06
93.6782,1479.74,GND,POWER,0.000743283,0.000743298,-6.79079e-06
93.6782,1479.74,POWER,BOTTOM_LAYER,0.000743298,0.000743298,1.07963e-06
94.2678,948.294,TOP_LAYER,GND,0.000742402,0.000742399,1.8173e-05
94.2678,948.294,GND,POWER,0.000742399,0.00074236,1.8173e-05
94.2678,948.294,POWER,BOTTOM_LAYER,0.00074236,0.000742356,3.15144e-05
94.2678,1735.7,TOP_LAYER,GND,0.00074283,0.000742834,-3.12366e-05
94.2678,1735.7,GND,POWER,0.000742834,0.000742833,3.73516e-07
94.2678,1735.7,POWER,BOTTOM_LAYER,0.000742833,0.000742833,3.73516e-07
98.0086,465.338,TOP_LAYER,GND,0.000740525,0.000740537,-8.08068e-05
98.0086,465.338,GND,POWER,0.000740537,0.000740709,-8.08068e-05
98.0086,465.338,POWER,BOTTOM_LAYER,0.000740709,0.000740719,-6.96857e-05
100.237,628.99,TOP_LAYER,GND,0.00074121,0.000741203,4.60205e-05
100.237,628.99,GND,POWER,0.000741203,0.000741105,4.60205e-05
100.237,628.99,POWER,BOTTOM_LAYER,0.000741105,0.000741075,0.000209763
109.135,1179.57,TOP_LAYER,GND,0.000742972,0.00074297,1.39347e-05
109.135,1179.57,GND,POWER,0.00074297,0.00074294,1.39347e-05
109.135,1179.57,POWER,BOTTOM_LAYER,0.00074294,0.000742953,-8.46451e-05
109.57,789.165,TOP_LAYER,GND,0.000741756,0.000741756,4.3908e-06
109.57,789.165,GND,POWER,0.000741756,0.000741746,4.3908e-06
109.57,789.165,POWER,BOTTOM_LAYER,0.000741746,0.000741716,0.000208881
111.101,1316.93,TOP_LAYER,GND,0.000743176,0.00074318,-3.0195e-05
111.101,1316.93,GND,POWER,0.00074318,0.000743245,-3.0195e-05
111.101,1316.93,POWER,BOTTOM_LAYER,0.000743245,0.000743247,-1.37711e-05
112.358,1500.22,TOP_LAYER,GND,0.000743282,0.000743283,-6.79079e-06
112.358,1500.22,GND,POWER,0.000743283,0.000743298,-6.79079e-06
112.358,1500.22,POWER,BOTTOM_LAYER,0.000743298,0.000743298,1.07963e-06
113.407,761.712,TOP_LAYER,GND,0.000741619,0.000741614,2.97799e-05
113.407,761.712,GND,POWER,0.000741614,0.000741551,2.97799e-05
113.407,761.712,POWER,BOTTOM_LAYER,0.000741551,0.000741562,-7.43171e-05
113.953,987.664,TOP_LAYER,GND,0.000742524,0.000742522,1.42296e-05
113.953,987.664,GND,POWER,0.000742522,0.000742492,1.42296e-05
113.953,987.664,POWER,BOTTOM_LAYER,0.000742492,0.000742489,1.93313e-05
113.953,1696.33,TOP_LAYER,GND,0.00074287,0.000742878,-5.00719e-05
113.953,1696.33,GND,POWER,0.000742878,0.000742867,4.84178e-06
113.953,1696.33,POWER,BOTTOM_LAYER,0.000742867,0.000742866,4.84178e-06
114.654,1152.4,TOP_LAYER,GND,0.000742901,0.000742904,-1.71012e-05
114.654,1152.4,GND,POWER,0.000742904,0.00074294,-1.71012e-05
114.654,1152.4,POWER,BOTTOM_LAYER,0.00074294,0.000742935,3.94154e-05
116.123,1206.39,TOP_LAYER,GND,0.000743038,0.00074304,-1.48604e-05
116.123,1206.39,GND,POWER,0.00074304,0.000743072,-1.48604e-05
116.123,1206.39,POWER,BOTTOM_LAYER,0.000743072,0.000743082,-7.21302e-05
117.734,815.656,TOP_LAYER,GND,0.000741866,0.000741858,5.25826e-05
117.734,815.656,GND,POWER,0.000741858,0.000741746,5.25826e-05
117.734,815.656,POWER,BOTTOM_LAYER,0.000741746,0.000741756,-6.61351e-05
119.838,648.591,TOP_LAYER,GND,0.000741259,0.000741249,6.74606e-05
119.838,648.591,GND,POWER,0.000741249,0.000741105,6.74606e-05
119.838,648.591,POWER,BOTTOM_LAYER,0.000741105,0.000741115,-6.44821e-05
162.652,73.568,TOP_LAYER,GND,0.000733508,0.000733509,-7.56127e-05
162.652,73.568,GND,POWER,0.000733509,0.000733506,1.7581e-05
162.652,73.568,POWER,BOTTOM_LAYER,0.000733506,0.000733506,1.7581e-05
162.652,1805.85,TOP_LAYER,GND,0.000742762,0.000742762,-6.48608e-07
162.652,1805.85,GND,POWER,0.000742762,0.000742762,1.04919e-06
162.652,1805.85,POWER,BOTTOM_LAYER,0.000742762,0.000742762,1.04919e-06
124.894,574.371,TOP_LAYER,GND,0.000740819,0.000740824,-3.00352e-05
124.894,574.371,GND,POWER,0.000740824,0.000740888,-3.00352e-05
124.894,574.371,POWER,BOTTOM_LAYER,0.000740888,0.00074091,-0.000156148
124.894,1379.26,TOP_LAYER,GND,0.000743329,0.000743329,1.3931e-06
124.894,1379.26,GND,POWER,0.000743329,0.000743326,1.3931e-06
124.894,1379.26,POWER,BOTTOM_LAYER,0.000743326,0.000743325,1.72718e-06
125.435,1406.98,TOP_LAYER,GND,0.000743333,0.000743333,-1.3931e-06
125.435,1406.98,GND,POWER,0.000743333,0.000743336,-1.3931e-06
125.435,1406.98,POWER,BOTTOM_LAYER,0.000743336,0.000743336,1.82592e-06
125.437,461.327,TOP_LAYER,GND,0.000740206,0.000740235,-0.000199234
125.437,461.327,GND,POWER,0.000740235,0.00074066,-0.000199234
125.437,461.327,POWER,BOTTOM_LAYER,0.00074066,0.000740676,-0.000109643
128.388,738.389,TOP_LAYER,GND,0.000741483,0.000741473,7.24379e-05
128.388,738.389,GND,POWER,0.000741473,0.000741318,7.24379e-05
128.388,738.389,POWER,BOTTOM_LAYER,0.000741318,0.000741332,-9.57415e-05
130.702,1297.33,TOP_LAYER,GND,0.000743176,0.000743182,-3.55719e-05
130.702,1297.33,GND,POWER,0.000743182,0.000743258,-3.55719e-05
130.702,1297.33,POWER,BOTTOM_LAYER,0.000743258,0.000743262,-2.7013e-05
