refdes;pin;voltage;current
U12;1;13.202;-0.370767
U12;2;13.2019;-0.370644
U13;4;3.30009;0.345
U15;4;2.50008;0.4401
U16;4;1.21233;0.4
U4;5;3.30009;0.13
U7;5;3.30009;0.1951
U8;5;1.80605;0.14
C1;1;3.30009;0.555
C75;2;13.2993;-9.999999999177334e-07
C74;2;13.2029;0.741412
