x;y;layer1;layer2;voltage1;voltage2;current
93.6782;520.437;GND;POWER;0.00176416;0.00176521;-0.000491268
93.6782;520.437;POWER;BOTTOM_LAYER;0.00176521;0.00176508;0.000871636
93.6782;1452.02;TOP_LAYER;GND;0.00182187;0.00182186;7.96023e-05
93.6782;1452.02;GND;POWER;0.00182186;0.00182169;7.96023e-05
93.6782;1452.02;POWER;BOTTOM_LAYER;0.00182169;0.00182164;0.00037703
93.6782;1479.74;TOP_LAYER;GND;0.00182281;0.00182278;0.000200416
93.6782;1479.74;GND;POWER;0.00182278;0.00182236;0.000200416
93.6782;1479.74;POWER;BOTTOM_LAYER;0.00182236;0.00182235;8.20382e-05
98.0086;465.338;TOP_LAYER;GND;0.00176083;0.00176104;-0.00146701
98.0086;465.338;GND;POWER;0.00176104;0.00176417;-0.00146701
98.0086;465.338;POWER;BOTTOM_LAYER;0.00176417;0.00176433;-0.00110374
100.237;628.99;TOP_LAYER;GND;0.00177253;0.00177241;0.000865012
100.237;628.99;GND;POWER;0.00177241;0.00177056;0.000865012
100.237;628.99;POWER;BOTTOM_LAYER;0.00177056;0.00177007;0.00337988
109.135;1179.57;TOP_LAYER;GND;0.00180987;0.00180981;0.000437103
109.135;1179.57;GND;POWER;0.00180981;0.00180888;0.000437103
109.135;1179.57;POWER;BOTTOM_LAYER;0.00180888;0.0018092;-0.00224315
109.57;789.165;TOP_LAYER;GND;0.00178263;0.00178261;0.00010641
109.57;789.165;GND;POWER;0.00178261;0.00178238;0.00010641
109.57;789.165;POWER;BOTTOM_LAYER;0.00178238;0.00178175;0.00433022
110.024;245.537;TOP_LAYER;GND;13.2993;13.2993;1.21783e-11
110.024;245.537;GND;POWER;13.2993;13.2993;1.58235e-11
110.024;245.537;POWER;BOTTOM_LAYER;13.2993;13.2993;1.21783e-11
111.101;1316.93;TOP_LAYER;GND;0.00181602;0.00181616;-0.000910812
111.101;1316.93;GND;POWER;0.00181616;0.0018181;-0.000910812
111.101;1316.93;POWER;BOTTOM_LAYER;0.0018181;0.00181815;-0.000373625
112.358;1500.22;TOP_LAYER;GND;0.00182281;0.00182278;0.000200416
112.358;1500.22;GND;POWER;0.00182278;0.00182236;0.000200416
112.358;1500.22;POWER;BOTTOM_LAYER;0.00182236;0.00182235;8.20382e-05
113.407;761.712;TOP_LAYER;GND;0.00178012;0.00178005;0.000516694
113.407;761.712;GND;POWER;0.00178005;0.00177894;0.000516694
113.407;761.712;POWER;BOTTOM_LAYER;0.00177894;0.00177909;-0.000991968
113.953;948.294;TOP_LAYER;GND;0.00179561;0.00179552;0.000589439
113.953;948.294;GND;POWER;0.00179552;0.00179426;0.000589439
113.953;948.294;POWER;BOTTOM_LAYER;0.00179426;0.001794;0.0017981
114.654;1152.4;TOP_LAYER;GND;0.00180781;0.00180788;-0.00046975
114.654;1152.4;GND;POWER;0.00180788;0.00180888;-0.00046975
114.654;1152.4;POWER;BOTTOM_LAYER;0.00180888;0.00180867;0.00140653
116.123;1206.39;TOP_LAYER;GND;0.00181177;0.00181182;-0.000301749
116.123;1206.39;GND;POWER;0.00181182;0.00181246;-0.000301749
116.123;1206.39;POWER;BOTTOM_LAYER;0.00181246;0.00181274;-0.00194194
117.734;815.656;TOP_LAYER;GND;0.00178466;0.00178451;0.00099706
117.734;815.656;GND;POWER;0.00178451;0.00178238;0.00099706
117.734;815.656;POWER;BOTTOM_LAYER;0.00178238;0.00178255;-0.0011098
119.838;648.591;TOP_LAYER;GND;0.00177338;0.0017732;0.00123746
119.838;648.591;GND;POWER;0.0017732;0.00177056;0.00123746
119.838;648.591;POWER;BOTTOM_LAYER;0.00177056;0.00177065;-0.000609632
162.652;73.568;TOP_LAYER;GND;0.00166352;0.00166358;-0.0053716
162.652;73.568;GND;POWER;0.00166358;0.0016637;-0.000799405
162.652;73.568;POWER;BOTTOM_LAYER;0.0016637;0.00166371;-0.000799405
162.652;1805.85;TOP_LAYER;GND;0.00182273;0.00182274;-0.00131264
162.652;1805.85;GND;POWER;0.00182274;0.00182276;-0.000120363
162.652;1805.85;POWER;BOTTOM_LAYER;0.00182276;0.00182276;-0.000120363
124.894;574.371;TOP_LAYER;GND;0.00176542;0.00176551;-0.000601687
124.894;574.371;GND;POWER;0.00176551;0.00176679;-0.000601687
124.894;574.371;POWER;BOTTOM_LAYER;0.00176679;0.00176714;-0.00236489
124.894;1379.26;TOP_LAYER;GND;0.00182084;0.00182083;0.000124102
124.894;1379.26;GND;POWER;0.00182083;0.00182056;0.000124102
124.894;1379.26;POWER;BOTTOM_LAYER;0.00182056;0.00182055;3.92424e-05
125.435;1406.98;TOP_LAYER;GND;0.00182121;0.00182123;-0.000124102
125.435;1406.98;GND;POWER;0.00182123;0.0018215;-0.000124102
125.435;1406.98;POWER;BOTTOM_LAYER;0.0018215;0.00182151;-6.93963e-05
125.437;461.327;TOP_LAYER;GND;0.00175613;0.00175659;-0.00316786
125.437;461.327;GND;POWER;0.00175659;0.00176335;-0.00316786
125.437;461.327;POWER;BOTTOM_LAYER;0.00176335;0.0017636;-0.00170836
128.388;738.389;TOP_LAYER;GND;0.00177752;0.00177731;0.00142334
128.388;738.389;GND;POWER;0.00177731;0.00177427;0.00142334
128.388;738.389;POWER;BOTTOM_LAYER;0.00177427;0.00177453;-0.00174016
130.702;1297.33;TOP_LAYER;GND;0.00181602;0.00181613;-0.000725137
130.702;1297.33;GND;POWER;0.00181613;0.00181768;-0.000725137
130.702;1297.33;POWER;BOTTOM_LAYER;0.00181768;0.00181777;-0.00064231
130.877;1129.93;TOP_LAYER;GND;0.00180716;0.0018071;0.000397283
130.877;1129.93;GND;POWER;0.0018071;0.00180625;0.000397283
130.877;1129.93;POWER;BOTTOM_LAYER;0.00180625;0.00180626;-1.75417e-05
133.913;1227.65;TOP_LAYER;GND;0.00181281;0.00181298;-0.0011363
133.913;1227.65;GND;POWER;0.00181298;0.0018154;-0.0011363
133.913;1227.65;POWER;BOTTOM_LAYER;0.0018154;0.00181494;0.00317065
134.384;245.537;TOP_LAYER;GND;13.2993;13.2993;-0
134.384;245.537;GND;POWER;13.2993;13.2993;1.66563e-11
134.384;245.537;POWER;BOTTOM_LAYER;13.2993;13.2993;-3.6535e-11
134.984;600.189;TOP_LAYER;GND;0.00176512;0.00176528;-0.00108058
134.984;600.189;GND;POWER;0.00176528;0.00176758;-0.00108058
134.984;600.189;POWER;BOTTOM_LAYER;0.00176758;0.00176714;0.00306697
136.572;835.991;TOP_LAYER;GND;0.00178656;0.00178655;6.96887e-05
136.572;835.991;GND;POWER;0.00178655;0.0017864;6.96887e-05
136.572;835.991;POWER;BOTTOM_LAYER;0.0017864;0.00178641;-7.99148e-05
139.439;668.192;TOP_LAYER;GND;0.00177338;0.00177326;0.000863474
139.439;668.192;GND;POWER;0.00177326;0.00177142;0.000863474
139.439;668.192;POWER;BOTTOM_LAYER;0.00177142;0.00177065;0.00523325
143.139;1499.14;TOP_LAYER;GND;0.00182456;0.00182446;0.000694711
143.139;1499.14;GND;POWER;0.00182446;0.00182298;0.000694711
143.139;1499.14;POWER;BOTTOM_LAYER;0.00182298;0.00182293;0.000326111
150.303;693.694;TOP_LAYER;GND;0.0017744;0.00177421;0.00130939
150.303;693.694;GND;POWER;0.00177421;0.00177142;0.00130939
150.303;693.694;POWER;BOTTOM_LAYER;0.00177142;0.00177176;-0.00237149
150.303;721.414;TOP_LAYER;GND;0.00177549;0.00177542;0.000535894
150.303;721.414;GND;POWER;0.00177542;0.00177427;0.000535894
150.303;721.414;POWER;BOTTOM_LAYER;0.00177427;0.00177377;0.00342912
150.303;1250.01;TOP_LAYER;GND;0.00181389;0.00181399;-0.000663248
150.303;1250.01;GND;POWER;0.00181399;0.0018154;-0.000663248
150.303;1250.01;POWER;BOTTOM_LAYER;0.0018154;0.00181586;-0.0031412
150.303;1277.73;TOP_LAYER;GND;0.00181511;0.00181527;-0.00112837
150.303;1277.73;GND;POWER;0.00181527;0.00181768;-0.00112837
150.303;1277.73;POWER;BOTTOM_LAYER;0.00181768;0.00181777;-0.00064231
151.124;471.746;TOP_LAYER;GND;0.00175613;0.00175657;-0.00301253
151.124;471.746;GND;POWER;0.00175657;0.001763;-0.00301253
151.124;471.746;POWER;BOTTOM_LAYER;0.001763;0.00176322;-0.00151191
151.862;499.456;TOP_LAYER;GND;0.0017545;0.00175505;-0.0037267
151.862;499.456;GND;POWER;0.00175505;0.001763;-0.0037267
151.862;499.456;POWER;BOTTOM_LAYER;0.001763;0.00176324;-0.001643
151.862;527.176;TOP_LAYER;GND;0.00175532;0.00175587;-0.00382276
151.862;527.176;GND;POWER;0.00175587;0.00176403;-0.00382276
151.862;527.176;POWER;BOTTOM_LAYER;0.00176403;0.00176412;-0.000656295
151.862;1445.11;TOP_LAYER;GND;0.00182596;0.00182573;0.00153069
151.862;1445.11;GND;POWER;0.00182573;0.00182247;0.00153069
151.862;1445.11;POWER;BOTTOM_LAYER;0.00182247;0.00182237;0.00069316
151.862;1472.83;TOP_LAYER;GND;0.00182548;0.00182532;0.00109898
151.862;1472.83;GND;POWER;0.00182532;0.00182298;0.00109898
151.862;1472.83;POWER;BOTTOM_LAYER;0.00182298;0.00182293;0.000326111
153.323;869.554;TOP_LAYER;GND;0.00179021;0.00179013;0.000602254
153.323;869.554;GND;POWER;0.00179013;0.00178884;0.000602254
153.323;869.554;POWER;BOTTOM_LAYER;0.00178884;0.00178865;0.00128238
153.323;1027.03;TOP_LAYER;GND;0.00180135;0.00180127;0.000527311
153.323;1027.03;GND;POWER;0.00180127;0.00180015;0.000527311
153.323;1027.03;POWER;BOTTOM_LAYER;0.00180015;0.00179982;0.00227231
154.585;619.79;TOP_LAYER;GND;0.0017643;0.00176451;-0.00144197
154.585;619.79;GND;POWER;0.00176451;0.00176758;-0.00144197
154.585;619.79;POWER;BOTTOM_LAYER;0.00176758;0.00176818;-0.00412303
155.129;1116.5;TOP_LAYER;GND;0.00180584;0.00180586;-0.000183233
155.129;1116.5;GND;POWER;0.00180586;0.00180625;-0.000183233
155.129;1116.5;POWER;BOTTOM_LAYER;0.00180625;0.00180628;-0.000164302
162.252;846.429;TOP_LAYER;GND;0.00178726;0.00178721;0.000379897
162.252;846.429;GND;POWER;0.00178721;0.0017864;0.000379897
162.252;846.429;POWER;BOTTOM_LAYER;0.0017864;0.00178645;-0.000362861
174.186;639.391;TOP_LAYER;GND;0.00176269;0.00176302;-0.00222018
174.186;639.391;GND;POWER;0.00176302;0.00176775;-0.00222018
174.186;639.391;POWER;BOTTOM_LAYER;0.00176775;0.00176738;0.00255003
182.811;1115.05;TOP_LAYER;GND;0.00180653;0.00180663;-0.000632398
182.811;1115.05;GND;POWER;0.00180663;0.00180798;-0.000632398
182.811;1115.05;POWER;BOTTOM_LAYER;0.00180798;0.001808;-0.000203686
187.462;845.879;TOP_LAYER;GND;0.00178733;0.00178727;0.000401417
187.462;845.879;GND;POWER;0.00178727;0.00178642;0.000401417
187.462;845.879;POWER;BOTTOM_LAYER;0.00178642;0.00178671;-0.00199067
192.693;948.294;TOP_LAYER;GND;0.00179613;0.00179602;0.000760954
192.693;948.294;GND;POWER;0.00179602;0.0017944;0.000760954
192.693;948.294;POWER;BOTTOM_LAYER;0.0017944;0.00179409;0.00210985
192.748;659.979;TOP_LAYER;GND;0.00176583;0.00176596;-0.00084232
192.748;659.979;GND;POWER;0.00176596;0.00176775;-0.00084232
192.748;659.979;POWER;BOTTOM_LAYER;0.00176775;0.00176822;-0.00318633
194.424;1336.09;TOP_LAYER;GND;0.00182652;0.00182618;0.00231554
194.424;1336.09;GND;POWER;0.00182618;0.00182124;0.00231554
