vrefdes,vpin,refdes,pin
VCOMP0,0,J2,1
VCOMP0,1,J2,2
VCOMP0,2,J2,3
VCOMP0,3,J2,4
VCOMP1,0,J1,1
VCOMP1,1,J1,2
VCOMP2,0,U1,8
VCOMP2,1,U1,3
VCOMP2,2,U1,2
VCOMP2,3,U1,1
VCOMP3,0,R1,1
VCOMP3,1,R1,2
