x,y,layer1,layer2,voltage1,voltage2,current
560.725,165.695,TOP_LAYER,GND,0.0112897,0.0112891,0.00370748
560.725,165.695,GND,POWER,0.0112891,0.0112861,0.00142318
560.725,165.695,POWER,BOTTOM_LAYER,0.0112861,0.0112859,0.00142318
600.095,86.9548,TOP_LAYER,GND,0.0112959,0.0112958,0.00117971
600.095,86.9548,GND,POWER,0.0112958,0.0112934,0.00111037
600.095,86.9548,POWER,BOTTOM_LAYER,0.0112934,0.0112932,0.00111037
637.737,1027.62,TOP_LAYER,GND,0.0111547,0.0111547,-1.22037e-13
637.737,1027.62,GND,POWER,0.0111547,0.0111625,-0.0378347
637.737,1027.62,POWER,BOTTOM_LAYER,0.0111625,0.0111631,-0.0378347
639.465,165.695,TOP_LAYER,GND,0.0112996,0.011299,0.00434199
639.465,165.695,GND,POWER,0.011299,0.0112954,0.00168578
639.465,165.695,POWER,BOTTOM_LAYER,0.0112954,0.0112951,0.00168578
683.211,1442.77,TOP_LAYER,GND,0.0110443,0.0110443,-0
683.211,1442.77,GND,POWER,0.0110443,0.0110658,-0.0425256
683.211,1442.77,POWER,BOTTOM_LAYER,0.0110658,0.0110672,-0.0425256
678.835,86.9548,TOP_LAYER,GND,0.0113064,0.0113063,0.00130161
678.835,86.9548,GND,POWER,0.0113063,0.0113037,0.00121448
678.835,86.9548,POWER,BOTTOM_LAYER,0.0113037,0.0113035,0.00121448
718.205,165.695,TOP_LAYER,GND,0.0113108,0.0113102,0.00463471
718.205,165.695,GND,POWER,0.0113102,0.0113063,0.00183224
718.205,165.695,POWER,BOTTOM_LAYER,0.0113063,0.011306,0.00183224
722.64,701.245,TOP_LAYER,GND,0.0112193,0.0112193,-0.000126217
722.64,701.245,GND,POWER,0.0112193,0.011226,-0.00315375
722.64,701.245,POWER,BOTTOM_LAYER,0.011226,0.0112265,-0.00315375
722.64,830.182,TOP_LAYER,GND,0.0111796,0.0111798,-0.00112514
722.64,830.182,GND,POWER,0.0111798,0.0111979,-0.00847428
722.64,830.182,POWER,BOTTOM_LAYER,0.0111979,0.0111991,-0.00847428
752.168,701.245,TOP_LAYER,GND,0.0112191,0.0112191,0.000126217
752.168,701.245,GND,POWER,0.0112191,0.011226,-0.00322238
752.168,701.245,POWER,BOTTOM_LAYER,0.011226,0.0112265,-0.00322238
752.168,830.182,TOP_LAYER,GND,0.0111772,0.0111771,0.00112514
752.168,830.182,GND,POWER,0.0111771,0.0111977,-0.00966809
752.168,830.182,POWER,BOTTOM_LAYER,0.0111977,0.0111991,-0.00966809
757.576,86.9548,TOP_LAYER,GND,0.0113183,0.0113181,0.00133329
757.576,86.9548,GND,POWER,0.0113181,0.0113155,0.00120591
757.576,86.9548,POWER,BOTTOM_LAYER,0.0113155,0.0113154,0.00120591
796.946,165.695,TOP_LAYER,GND,0.0113229,0.0113224,0.00379308
796.946,165.695,GND,POWER,0.0113224,0.0113188,0.00169724
796.946,165.695,POWER,BOTTOM_LAYER,0.0113188,0.0113185,0.00169724
836.316,244.435,TOP_LAYER,GND,0.0113256,0.0113245,0.00746906
836.316,244.435,GND,POWER,0.0113245,0.0113198,0.00221745
836.316,244.435,POWER,BOTTOM_LAYER,0.0113198,0.0113194,0.00221745
836.316,401.916,TOP_LAYER,GND,0.0113121,0.0113093,0.0191232
836.316,401.916,GND,POWER,0.0113093,0.0113014,0.00368493
836.316,401.916,POWER,BOTTOM_LAYER,0.0113014,0.0113009,0.00368493
875.686,323.175,TOP_LAYER,GND,0.0113236,0.0113227,0.00614163
875.686,323.175,GND,POWER,0.0113227,0.0113187,0.00184256
875.686,323.175,POWER,BOTTOM_LAYER,0.0113187,0.0113185,0.00184256
875.686,480.656,TOP_LAYER,GND,0.0113039,0.0112998,0.0283621
875.686,480.656,GND,POWER,0.0112998,0.0112947,0.00235819
875.686,480.656,POWER,BOTTOM_LAYER,0.0112947,0.0112944,0.00235819
915.056,86.9548,TOP_LAYER,GND,0.0113464,0.0113463,0.000619886
915.056,86.9548,GND,POWER,0.0113463,0.011345,0.000614254
915.056,86.9548,POWER,BOTTOM_LAYER,0.011345,0.0113449,0.000614254
915.056,244.435,TOP_LAYER,GND,0.0113357,0.0113356,0.00119449
915.056,244.435,GND,POWER,0.0113356,0.0113339,0.000779279
915.056,244.435,POWER,BOTTOM_LAYER,0.0113339,0.0113338,0.000779279
915.056,401.916,TOP_LAYER,GND,0.0113196,0.0113183,0.00851723
915.056,401.916,GND,POWER,0.0113183,0.0113169,0.000641949
915.056,401.916,POWER,BOTTOM_LAYER,0.0113169,0.0113168,0.000641949
954.426,165.695,TOP_LAYER,GND,0.0113499,0.0113499,0.00028555
954.426,165.695,GND,POWER,0.0113499,0.011349,0.000412653
954.426,165.695,POWER,BOTTOM_LAYER,0.011349,0.0113489,0.000412653
954.426,323.175,TOP_LAYER,GND,0.0113326,0.0113325,0.000712957
954.426,323.175,GND,POWER,0.0113325,0.0113332,-0.000324298
954.426,323.175,POWER,BOTTOM_LAYER,0.0113332,0.0113332,-0.000324298
993.796,244.435,TOP_LAYER,GND,0.0113474,0.0113479,-0.00295613
993.796,244.435,GND,POWER,0.0113479,0.0113487,-0.00040907
993.796,244.435,POWER,BOTTOM_LAYER,0.0113487,0.0113488,-0.00040907
993.796,401.916,TOP_LAYER,GND,0.0113293,0.0113281,0.00783372
993.796,401.916,GND,POWER,0.0113281,0.0113344,-0.0029356
993.796,401.916,POWER,BOTTOM_LAYER,0.0113344,0.0113348,-0.0029356
1033.17,323.175,TOP_LAYER,GND,0.0113407,0.0113415,-0.0057657
1033.17,323.175,GND,POWER,0.0113415,0.0113468,-0.00245869
1033.17,323.175,POWER,BOTTOM_LAYER,0.0113468,0.0113472,-0.00245869
1033.17,480.656,TOP_LAYER,GND,0.0113245,0.0113198,0.0322217
1033.17,480.656,GND,POWER,0.0113198,0.0113396,-0.00926688
