refdes,pin,voltage,current,rpin
VCOMP7,VCOMP7-1,3.2989,-0.00200089,50
VCOMP7,VCOMP7-2,3.29891,-0.00200092,50
VCOMP7,VCOMP7-3,3.29891,-0.0020009,50
VCOMP7,VCOMP7-4,0.000302981,0.00200054,50
VCOMP7,VCOMP7-5,0.000378269,0.00199903,50
VCOMP7,VCOMP7-6,0.000290572,0.00200079,50
VCOMP7,VCOMP7-7,0.00034776,0.00199964,50
VCOMP8,VCOMP8-0,3.29673,-0.00525409,25.034
VCOMP8,VCOMP8-1,3.29665,-0.00525116,25.034
VCOMP8,VCOMP8-2,3.29663,-0.00525007,25.034
VCOMP8,VCOMP8-3,3.29663,-0.00524998,25.034
VCOMP8,VCOMP8-4,3.29659,-0.00524875,25.034
VCOMP8,VCOMP8-5,3.2966,-0.00524918,25.034
VCOMP8,VCOMP8-6,3.2966,-0.00524912,25.034
VCOMP8,VCOMP8-7,3.29661,-0.00524933,25.034
VCOMP8,VCOMP8-8,3.29661,-0.00524936,25.034
VCOMP8,VCOMP8-9,3.29661,-0.00524923,25.034
VCOMP8,VCOMP8-10,3.29662,-0.0052497,25.034
VCOMP8,VCOMP8-11,3.29663,-0.00525006,25.034
VCOMP8,VCOMP8-12,0.00145045,0.002866,25.034
VCOMP8,VCOMP8-13,0,0,25.034
VCOMP8,VCOMP8-14,0.00122659,0.00287495,25.034
VCOMP8,VCOMP8-15,0.00114387,0.00287825,25.034
VCOMP8,VCOMP8-16,0.00148096,0.00286479,25.034
VCOMP8,VCOMP8-17,0.00122022,0.0028752,25.034
VCOMP8,VCOMP8-18,0.00124122,0.00287436,25.034
VCOMP8,VCOMP8-19,0.00142334,0.00286709,25.034
VCOMP8,VCOMP8-20,0.00144557,0.0028662,25.034
VCOMP8,VCOMP8-21,0.00144526,0.00286621,25.034
VCOMP8,VCOMP8-22,0.00158142,0.00286077,25.034
VCOMP8,VCOMP8-23,0.00155592,0.00286179,25.034
VCOMP8,VCOMP8-24,0.00161322,0.0028595,25.034
VCOMP8,VCOMP8-25,0.00166629,0.00285738,25.034
VCOMP8,VCOMP8-26,0.00167264,0.00285713,25.034
VCOMP8,VCOMP8-27,0.0016924,0.00285634,25.034
VCOMP8,VCOMP8-28,0.00173304,0.00285472,25.034
VCOMP8,VCOMP8-29,0.00173022,0.00285483,25.034
VCOMP8,VCOMP8-30,0.00169233,0.00285634,25.034
VCOMP8,VCOMP8-31,0.00162021,0.00285922,25.034
VCOMP8,VCOMP8-32,0.00157842,0.00286089,25.034
VCOMP8,VCOMP8-33,0.00150087,0.00286399,25.034
VCOMP8,VCOMP8-34,0.00149893,0.00286407,25.034
VCOMP9,VCOMP9-0,1.21009,-0.0222242,5.04878
VCOMP9,VCOMP9-1,1.21013,-0.0222304,5.04878
VCOMP9,VCOMP9-2,1.20995,-0.0221962,5.04878
VCOMP9,VCOMP9-3,1.20975,-0.0221571,5.04878
VCOMP9,VCOMP9-4,1.20959,-0.0221245,5.04878
VCOMP9,VCOMP9-5,1.20978,-0.0221622,5.04878
VCOMP9,VCOMP9-6,1.2098,-0.0221656,5.04878
VCOMP9,VCOMP9-7,1.20987,-0.0221799,5.04878
VCOMP9,VCOMP9-8,1.20983,-0.0221727,5.04878
VCOMP9,VCOMP9-9,1.20991,-0.0221874,5.04878
VCOMP9,VCOMP9-10,1.21011,-0.0222267,5.04878
VCOMP9,VCOMP9-11,1.21035,-0.022274,5.04878
VCOMP9,VCOMP9-12,1.21042,-0.0222891,5.04878
VCOMP9,VCOMP9-13,1.21041,-0.0222865,5.04878
VCOMP9,VCOMP9-14,1.21048,-0.0223001,5.04878
VCOMP9,VCOMP9-15,1.21052,-0.0223091,5.04878
VCOMP9,VCOMP9-16,1.21025,-0.0222556,5.04878
VCOMP9,VCOMP9-17,1.21027,-0.022259,5.04878
VCOMP9,VCOMP9-18,0.00145045,0.0181936,5.04878
VCOMP9,VCOMP9-19,0,0,5.04878
VCOMP9,VCOMP9-20,0.00122659,0.0182379,5.04878
VCOMP9,VCOMP9-21,0.00114387,0.0182543,5.04878
VCOMP9,VCOMP9-22,0.00148096,0.0181875,5.04878
VCOMP9,VCOMP9-23,0.00122022,0.0182392,5.04878
VCOMP9,VCOMP9-24,0.00124122,0.018235,5.04878
VCOMP9,VCOMP9-25,0.00142334,0.0181989,5.04878
VCOMP9,VCOMP9-26,0.00144557,0.0181945,5.04878
VCOMP9,VCOMP9-27,0.00144526,0.0181946,5.04878
VCOMP9,VCOMP9-28,0.00158142,0.0181676,5.04878
VCOMP9,VCOMP9-29,0.00155592,0.0181727,5.04878
VCOMP9,VCOMP9-30,0.00161322,0.0181613,5.04878
VCOMP9,VCOMP9-31,0.00166629,0.0181508,5.04878
VCOMP9,VCOMP9-32,0.00167264,0.0181495,5.04878
VCOMP9,VCOMP9-33,0.0016924,0.0181456,5.04878
VCOMP9,VCOMP9-34,0.00173304,0.0181376,5.04878
VCOMP9,VCOMP9-35,0.00173022,0.0181381,5.04878
VCOMP9,VCOMP9-36,0.00169233,0.0181456,5.04878
VCOMP9,VCOMP9-37,0.00162021,0.0181599,5.04878
VCOMP9,VCOMP9-38,0.00157842,0.0181682,5.04878
VCOMP9,VCOMP9-39,0.00150087,0.0181836,5.04878
VCOMP9,VCOMP9-40,0.00149893,0.018184,5.04878
VCOMP10,VCOMP10-0,3.29933,-0.0650001,1.53846
VCOMP10,VCOMP10-1,0.00173463,0.0650001,1.53846
VCOMP11,VCOMP11-0,3.29958,-0.0650001,1.53846
VCOMP11,VCOMP11-1,0.00187619,0.0650001,1.53846
VCOMP12,VCOMP12-0,3.29882,-0.0109827,13.1313
VCOMP12,VCOMP12-1,3.29886,-0.0109858,13.1313
VCOMP12,VCOMP12-2,3.29886,-0.0109856,13.1313
VCOMP12,VCOMP12-3,3.29935,-0.0110227,13.1313
VCOMP12,VCOMP12-4,3.29935,-0.0110232,13.1313
VCOMP12,VCOMP12-5,0.00123993,0.0045858,13.1313
VCOMP12,VCOMP12-6,0.000999837,0.00460408,13.1313
VCOMP12,VCOMP12-7,0.00134476,0.00457781,13.1313
VCOMP12,VCOMP12-8,0.00135895,0.00457673,13.1313
VCOMP12,VCOMP12-9,0.00127677,0.00458299,13.1313
VCOMP12,VCOMP12-10,0.00127677,0.00458299,13.1313
VCOMP12,VCOMP12-11,0,0,13.1313
VCOMP12,VCOMP12-12,0.00127698,0.00458297,13.1313
VCOMP12,VCOMP12-13,0.00127791,0.0045829,13.1313
VCOMP12,VCOMP12-14,0.00130243,0.00458104,13.1313
VCOMP12,VCOMP12-15,0.00129232,0.00458181,13.1313
VCOMP12,VCOMP12-16,0.00131253,0.00458027,13.1313
VCOMP12,VCOMP12-17,0.00130731,0.00458066,13.1313
VCOMP13,VCOMP13-0,1.80517,-0.0465852,3.48214
VCOMP13,VCOMP13-1,1.80559,-0.0467074,3.48214
VCOMP13,VCOMP13-2,1.80559,-0.0467074,3.48214
VCOMP13,VCOMP13-3,0.00123993,0.0116759,3.48214
VCOMP13,VCOMP13-4,0.000999837,0.0117449,3.48214
VCOMP13,VCOMP13-5,0.00134476,0.0116458,3.48214
VCOMP13,VCOMP13-6,0.00135895,0.0116418,3.48214
VCOMP13,VCOMP13-7,0.00127677,0.0116654,3.48214
VCOMP13,VCOMP13-8,0.00127677,0.0116654,3.48214
VCOMP13,VCOMP13-9,0,0,3.48214
VCOMP13,VCOMP13-10,0.00127698,0.0116653,3.48214
VCOMP13,VCOMP13-11,0.00127791,0.011665,3.48214
VCOMP13,VCOMP13-12,0.00130243,0.011658,3.48214
