refdes,pin,voltage,current,rpin
VCOMP8,VCOMP8-23,0.00155622,0.00286179,25.034
VCOMP8,VCOMP8-24,0.00161352,0.0028595,25.034
VCOMP8,VCOMP8-25,0.0016666,0.00285738,25.034
VCOMP8,VCOMP8-26,0.00167294,0.00285713,25.034
VCOMP8,VCOMP8-27,0.0016927,0.00285634,25.034
VCOMP8,VCOMP8-28,0.00173332,0.00285472,25.034
VCOMP8,VCOMP8-29,0.0017305,0.00285483,25.034
VCOMP8,VCOMP8-30,0.00169263,0.00285634,25.034
VCOMP8,VCOMP8-31,0.00162051,0.00285922,25.034
VCOMP8,VCOMP8-32,0.00157873,0.00286089,25.034
VCOMP8,VCOMP8-33,0.00150118,0.00286399,25.034
VCOMP8,VCOMP8-34,0.00149924,0.00286407,25.034
VCOMP9,VCOMP9-0,1.20531,-0.0222242,5.04878
VCOMP9,VCOMP9-1,1.20534,-0.0222304,5.04878
VCOMP9,VCOMP9-2,1.20517,-0.0221962,5.04878
VCOMP9,VCOMP9-3,1.20497,-0.0221571,5.04878
VCOMP9,VCOMP9-4,1.2048,-0.0221245,5.04878
VCOMP9,VCOMP9-5,1.20499,-0.0221622,5.04878
VCOMP9,VCOMP9-6,1.20501,-0.0221656,5.04878
VCOMP9,VCOMP9-7,1.20508,-0.0221799,5.04878
VCOMP9,VCOMP9-8,1.20505,-0.0221727,5.04878
VCOMP9,VCOMP9-9,1.20512,-0.0221874,5.04878
VCOMP9,VCOMP9-10,1.20532,-0.0222267,5.04878
VCOMP9,VCOMP9-11,1.20556,-0.022274,5.04878
VCOMP9,VCOMP9-12,1.20563,-0.0222891,5.04878
VCOMP9,VCOMP9-13,1.20562,-0.0222865,5.04878
VCOMP9,VCOMP9-14,1.20569,-0.0223001,5.04878
VCOMP9,VCOMP9-15,1.20574,-0.0223091,5.04878
VCOMP9,VCOMP9-16,1.20547,-0.0222556,5.04878
VCOMP9,VCOMP9-17,1.20548,-0.022259,5.04878
VCOMP9,VCOMP9-18,0.00145076,0.0181936,5.04878
VCOMP9,VCOMP9-19,0,0,5.04878
VCOMP9,VCOMP9-20,0.00122689,0.0182379,5.04878
VCOMP9,VCOMP9-21,0.00114417,0.0182543,5.04878
VCOMP9,VCOMP9-22,0.00148128,0.0181875,5.04878
VCOMP9,VCOMP9-23,0.00122054,0.0182392,5.04878
VCOMP9,VCOMP9-24,0.00124155,0.018235,5.04878
VCOMP9,VCOMP9-25,0.00142367,0.0181989,5.04878
VCOMP9,VCOMP9-26,0.0014459,0.0181945,5.04878
VCOMP9,VCOMP9-27,0.00144559,0.0181946,5.04878
VCOMP9,VCOMP9-28,0.00158173,0.0181676,5.04878
VCOMP9,VCOMP9-29,0.00155622,0.0181727,5.04878
VCOMP9,VCOMP9-30,0.00161352,0.0181613,5.04878
VCOMP9,VCOMP9-31,0.0016666,0.0181508,5.04878
VCOMP9,VCOMP9-32,0.00167294,0.0181495,5.04878
VCOMP9,VCOMP9-33,0.0016927,0.0181456,5.04878
VCOMP9,VCOMP9-34,0.00173332,0.0181376,5.04878
VCOMP9,VCOMP9-35,0.0017305,0.0181381,5.04878
VCOMP9,VCOMP9-36,0.00169263,0.0181456,5.04878
VCOMP9,VCOMP9-37,0.00162051,0.0181599,5.04878
VCOMP9,VCOMP9-38,0.00157873,0.0181682,5.04878
VCOMP9,VCOMP9-39,0.00150118,0.0181836,5.04878
VCOMP9,VCOMP9-40,0.00149924,0.018184,5.04878
VCOMP10,VCOMP10-0,3.30099,-0.0650001,1.53846
VCOMP10,VCOMP10-1,0.00173494,0.0650001,1.53846
VCOMP11,VCOMP11-0,3.30124,-0.0650001,1.53846
